id,character,dialogue,movie,race,is_evil
2209,Frodo,We can't do this by ourselves Sam. Not without a guide. I need you on my     side.,The Return of the King ,hobbit,false
2210,Merry,No,The Fellowship of the Ring ,hobbit,false
2211,Pippin,I think we are,The Fellowship of the Ring ,hobbit,false
2212,Sam,Ssh! Gandalf's thinking,The Fellowship of the Ring ,hobbit,false
2213,Pippin,Merry!,The Fellowship of the Ring ,hobbit,false
2214,Merry,What!,The Fellowship of the Ring ,hobbit,false
2215,Pippin,I'm hungry,The Fellowship of the Ring ,hobbit,false
2216,Frodo,There's something down there,The Fellowship of the Ring ,hobbit,false
2217,Gandalf,It's Gollum,The Fellowship of the Ring ,maiar,false
2218,Frodo,Gollum!,The Fellowship of the Ring ,hobbit,false
2219,Gandalf,He's been following us for three days,The Fellowship of the Ring ,maiar,false
2220,Frodo,He escaped the dungeons of Barad-D'r!,The Fellowship of the Ring ,hobbit,false
2221,Gandalf,"Escaped ,     or was set loose and now the Ring has drawn him here ,     He won't ever be rid of his need for it. He hates and loves the Ring,     as he hates and loves himself. Smeagol's life is a sad story    , Yes    , he was once called, befor",The Fellowship of the Ring ,maiar,false
2222,Frodo,It's a pity Bilbo didnt kill him when he had the chance,The Fellowship of the Ring ,hobbit,false
2223,Gandalf,"Pity ? It was pity that stayed Bilbo's hand.     Many that live deserve death and many that die, deserve life. Can you give     it to them Frodo ? Do not be too eager to deal out death and judgement Even     the very wise cannot see all ends. My hea",The Fellowship of the Ring ,maiar,false
2224,Frodo,I wish the Ring had never come to me. I wish none of     this had happened.,The Fellowship of the Ring ,hobbit,false
2225,Gandalf,"So do all who live to see such times, but that is not for     them to decide. All we have to decide is what to do with the time that     is given to us. There are other forces at work in this world, Frodo,     besides the will of evil. Bilbo was mea",The Fellowship of the Ring ,maiar,false
2226,Theoden,"Get them into the caves. , Saruman's arm will have grown long indeed if he thinks he can     reach us here.",The Two Towers ,human,false
2227,Frodo," Underhill, my name's     Underhill",The Fellowship of the Ring ,hobbit,false
2228,Theoden, They will be 300     leagues from here by now. Eomer cannot help us. I know what it is you want     of me......but I will not bring further death to my people. I will not risk     open war.,The Two Towers ,human,false
2229,Frodo,We're friends of Gandalf the Grey. Can you tell him we've     arrived?,The Fellowship of the Ring ,hobbit,false
2230,Theoden,"When last I looked......Theoden, not Aragorn, was King of Rohan.",The Two Towers ,human,false
2231,Sam,What do we do now ?,The Fellowship of the Ring ,hobbit,false
2232,Frodo,Sam. He'll be here. He'll come.,The Fellowship of the Ring ,hobbit,false
2233,Pippin,What's that ?,The Fellowship of the Ring ,hobbit,false
2234,Merry,"This my friend, is a pint! ",The Fellowship of the Ring ,hobbit,false
2238,Sam,You've had a whole half already!,The Fellowship of the Ring ,hobbit,false
2239,Sam,That fellow's done nothing but stare at you since we     arrived! ,The Fellowship of the Ring ,hobbit,false
2240,Gandalf,"So am I dear boy. , So am I.",The Fellowship of the Ring ,maiar,false
2241,Bilbo," No thank     you! We don't want any more visitors, well wishers or distant relations!    ",The Fellowship of the Ring ,hobbit,false
2242,Gandalf,And what about very old friends?      ,The Fellowship of the Ring ,maiar,false
2243,Bilbo,Gandalf?      ,The Fellowship of the Ring ,hobbit,false
2244,Gandalf,Bilbo Baggins. ,The Fellowship of the Ring ,maiar,false
2245,Bilbo,My dear Gandalf! ,The Fellowship of the Ring ,hobbit,false
2246,Gandalf,"It's good to see you. One hundred and eleven years old     who would believe it. ,     You haven't aged a day! ",The Fellowship of the Ring ,maiar,false
